,PPM,PPW,Address,Added/Reduced Date,Link,Good Price,Good Location
4,2253,520,"Compton Close, Euston, NW1",Added today,https://www.rightmove.co.uk/property-to-rent/property-72744871.html,True,True
20,2145,495,"Barker Drive, Camden Town, London, NW1",Reduced yesterday,https://www.rightmove.co.uk/property-to-rent/property-72340327.html,True,True
35,2145,495,"Parkway, London, NW1",Added on 04/07/2019,https://www.rightmove.co.uk/property-to-rent/property-72708586.html,True,True
67,2275,525,"Patterdale , NW1",Added on 03/07/2019,https://www.rightmove.co.uk/property-to-rent/property-72679450.html,True,True
91,2340,540,"Camden Square, NW1",Added on 02/07/2019,https://www.rightmove.co.uk/property-to-rent/property-83028206.html,True,True
106,2400,554,"Royal College Street, Camden, NW1",Added on 02/07/2019,https://www.rightmove.co.uk/property-to-rent/property-72638029.html,True,True
118,2383,550,"Hampstead Road, Euston, NW1",Added on 01/07/2019,https://www.rightmove.co.uk/property-to-rent/property-72621670.html,True,True
121,2232,515,"Royal College Street, NW1",Added on 01/07/2019,https://www.rightmove.co.uk/property-to-rent/property-72620242.html,True,True
160,2200,508,College Place NW1,Added on 28/06/2019,https://www.rightmove.co.uk/property-to-rent/property-82920770.html,True,True
161,2492,575,"Camden High Street, Camden Town, NW1",Added on 27/06/2019,https://www.rightmove.co.uk/property-to-rent/property-54967314.html,True,True
162,2297,530,"Bessemer, Rochester Square, NW1",Added on 27/06/2019,https://www.rightmove.co.uk/property-to-rent/property-72557014.html,True,True
198,2167,500,"St Augustine's Road, Camden NW1",Added on 25/06/2019,https://www.rightmove.co.uk/property-to-rent/property-72516757.html,True,True
229,2383,550,"Osnaburgh Street,London,NW1",Reduced on 24/06/2019,https://www.rightmove.co.uk/property-to-rent/property-16075353.html,True,True
235,2427,560,"Albany Street, London, NW1",Added on 21/06/2019,https://www.rightmove.co.uk/property-to-rent/property-72444607.html,True,True
236,2340,540,"Lydford, London, NW1",Added on 21/06/2019,https://www.rightmove.co.uk/property-to-rent/property-72444592.html,True,True
267,2500,577,College Place NW1,Added on 20/06/2019,https://www.rightmove.co.uk/property-to-rent/property-82714040.html,True,True
374,2297,530,"Royal Collage Street, Camden, NW1",Reduced on 14/06/2019,https://www.rightmove.co.uk/property-to-rent/property-71422561.html,True,True
381,2383,550,"Plender Street, Camden, NW1",Added on 14/06/2019,https://www.rightmove.co.uk/property-to-rent/property-82632482.html,True,True
401,2383,550,"Royal College Street, London, NW1",Added on 12/06/2019,https://www.rightmove.co.uk/property-to-rent/property-62999802.html,True,True
446,2275,525,"St. Pancras Way,London,NW1",Added on 08/06/2019,https://www.rightmove.co.uk/property-to-rent/property-41517549.html,True,True
467,2383,550,"Camelot House, London , NW1",Added on 06/06/2019,https://www.rightmove.co.uk/property-to-rent/property-72128203.html,True,True
507,2015,465," Marquis Road,  Camden, NW1",Added on 30/05/2019,https://www.rightmove.co.uk/property-to-rent/property-71981308.html,True,True
509,2492,575," Pratt Street,  Camden, NW1",Added on 30/05/2019,https://www.rightmove.co.uk/property-to-rent/property-71979868.html,True,True
523,2383,550," Lorraine Court, Clarence Way, Camden, NW1",Added on 29/05/2019,https://www.rightmove.co.uk/property-to-rent/property-82183298.html,True,True
539,2427,560,"Ossulston Street, London, NW1",Added on 24/05/2019,https://www.rightmove.co.uk/property-to-rent/property-82076927.html,True,True
543,2492,575,"Eversholt Street, London, NW1",Added on 24/05/2019,https://www.rightmove.co.uk/property-to-rent/property-82071941.html,True,True
635,2500,577,"Bayham Street, London, NW1",Added on 14/05/2019,https://www.rightmove.co.uk/property-to-rent/property-50980075.html,True,True
639,2492,575,"Kirkstone, Harrington Street, London, NW1",Added on 13/05/2019,https://www.rightmove.co.uk/property-to-rent/property-71647435.html,True,True
641,2100,485,"Forge Place, London, NW1",Added on 12/05/2019,https://www.rightmove.co.uk/property-to-rent/property-63491580.html,True,True
942,2492,575,"Ferdinand Street, London, NW1",Reduced on 14/08/2018,https://www.rightmove.co.uk/property-to-rent/property-75253634.html,True,True
